ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,TotalProductCost,SalesOrderNumber,SalesAmount
310,20101229,20110110,20110105,21768,2171.2942,SO43697,3578.27
346,20101229,20110110,20110105,28389,1912.1544,SO43698,3399.99
346,20101229,20110110,20110105,25863,1912.1544,SO43699,3399.99
336,20101229,20110110,20110105,14501,413.1463,SO43700,699.0982
346,20101229,20110110,20110105,11003,1912.1544,SO43701,3399.99
311,20101230,20110111,20110106,27645,2171.2942,SO43702,3578.27
310,20101230,20110111,20110106,16624,2171.2942,SO43703,3578.27
351,20101230,20110111,20110106,11005,1898.0944,SO43704,3374.99
344,20101230,20110111,20110106,11011,1912.1544,SO43705,3399.99
312,20101231,20110112,20110107,27621,2171.2942,SO43706,3578.27
312,20101231,20110112,20110107,27616,2171.2942,SO43707,3578.27
330,20101231,20110112,20110107,20042,413.1463,SO43708,699.0982
313,20101231,20110112,20110107,16351,2171.2942,SO43709,3578.27
314,20101231,20110112,20110107,16517,2171.2942,SO43710,3578.27
314,20110101,20110113,20110108,27606,2171.2942,SO43711,3578.27
311,20110101,20110113,20110108,13513,2171.2942,SO43712,3578.27
310,20110102,20110114,20110109,27601,2171.2942,SO43713,3578.27
311,20110102,20110114,20110109,13591,2171.2942,SO43714,3578.27
314,20110102,20110114,20110109,16483,2171.2942,SO43715,3578.27
311,20110102,20110114,20110109,16529,2171.2942,SO43716,3578.27
336,20110102,20110114,20110109,25249,413.1463,SO43717,699.0982
311,20110103,20110115,20110110,27668,2171.2942,SO43718,3578.27
312,20110103,20110115,20110110,27612,2171.2942,SO43719,3578.27
311,20110103,20110115,20110110,13264,2171.2942,SO43720,3578.27
310,20110103,20110115,20110110,13590,2171.2942,SO43721,3578.27
312,20110104,20110116,20110111,13581,2171.2942,SO43722,3578.27
332,20110104,20110116,20110111,14520,413.1463,SO43723,699.0982
311,20110104,20110116,20110111,16520,2171.2942,SO43724,3578.27
311,20110105,20110117,20110112,13258,2171.2942,SO43725,3578.27
332,20110105,20110117,20110112,14560,413.1463,SO43726,699.0982
311,20110105,20110117,20110112,16607,2171.2942,SO43727,3578.27
313,20110106,20110118,20110113,27666,2171.2942,SO43728,3578.27
346,20110106,20110118,20110113,11238,1912.1544,SO43729,3399.99
346,20110106,20110118,20110113,25861,1912.1544,SO43730,3399.99
314,20110106,20110118,20110113,16629,2171.2942,SO43731,3578.27
350,20110106,20110118,20110113,11025,1898.0944,SO43732,3374.99
312,20110106,20110118,20110113,27577,2171.2942,SO43733,3578.27
312,20110107,20110119,20110114,27604,2171.2942,SO43734,3578.27
310,20110107,20110119,20110114,16522,2171.2942,SO43735,3578.27
346,20110107,20110119,20110114,11002,1912.1544,SO43736,3399.99
311,20110108,20110120,20110115,13261,2171.2942,SO43737,3578.27
312,20110108,20110120,20110115,11606,2171.2942,SO43738,3578.27
310,20110108,20110120,20110115,13563,2171.2942,SO43739,3578.27
312,20110108,20110120,20110115,16527,2171.2942,SO43740,3578.27
310,20110109,20110121,20110116,27671,2171.2942,SO43741,3578.27
314,20110109,20110121,20110116,13576,2171.2942,SO43742,3578.27
347,20110109,20110121,20110116,11007,1912.1544,SO43743,3399.99
313,20110109,20110121,20110116,16631,2171.2942,SO43744,3578.27
311,20110110,20110122,20110117,16514,2171.2942,SO43745,3578.27
312,20110110,20110122,20110117,16616,2171.2942,SO43746,3578.27
314,20110111,20110123,20110118,27623,2171.2942,SO43747,3578.27
313,20110111,20110123,20110118,27625,2171.2942,SO43748,3578.27
314,20110111,20110123,20110118,27636,2171.2942,SO43749,3578.27
311,20110111,20110123,20110118,11591,2171.2942,SO43750,3578.27
313,20110111,20110123,20110118,11592,2171.2942,SO43751,3578.27
311,20110111,20110123,20110118,13265,2171.2942,SO43752,3578.27
310,20110111,20110123,20110118,16482,2171.2942,SO43753,3578.27
312,20110112,20110124,20110119,27617,2171.2942,SO43754,3578.27
311,20110112,20110124,20110119,27670,2171.2942,SO43755,3578.27
332,20110112,20110124,20110119,19941,413.1463,SO43756,699.0982
350,20110112,20110124,20110119,11017,1898.0944,SO43757,3374.99
310,20110113,20110125,20110120,27646,2171.2942,SO43758,3578.27
310,20110113,20110125,20110120,13257,2171.2942,SO43759,3578.27
314,20110113,20110125,20110120,16352,2171.2942,SO43760,3578.27
310,20110113,20110125,20110120,16493,2171.2942,SO43761,3578.27
314,20110114,20110126,20110121,27578,2171.2942,SO43762,3578.27
313,20110114,20110126,20110121,16525,2171.2942,SO43763,3578.27
310,20110114,20110126,20110121,16612,2171.2942,SO43764,3578.27
346,20110114,20110126,20110121,11010,1912.1544,SO43765,3399.99
313,20110115,20110127,20110122,16518,2171.2942,SO43766,3578.27
350,20110115,20110127,20110122,11001,1898.0944,SO43767,3374.99
312,20110116,20110128,20110123,27649,2171.2942,SO43768,3578.27
312,20110116,20110128,20110123,21659,2171.2942,SO43769,3578.27
312,20110116,20110128,20110123,27614,2171.2942,SO43770,3578.27
330,20110116,20110128,20110123,14559,413.1463,SO43771,699.0982
312,20110116,20110128,20110123,16524,2171.2942,SO43772,3578.27
314,20110116,20110128,20110123,16526,2171.2942,SO43773,3578.27
313,20110116,20110128,20110123,16348,2171.2942,SO43774,3578.27
347,20110116,20110128,20110123,11027,1912.1544,SO43775,3399.99
314,20110117,20110129,20110124,13260,2171.2942,SO43776,3578.27
311,20110117,20110129,20110124,16515,2171.2942,SO43777,3578.27
345,20110117,20110129,20110124,11018,1912.1544,SO43778,3399.99
326,20110117,20110129,20110124,25252,413.1463,SO43779,699.0982
311,20110118,20110130,20110125,11599,2171.2942,SO43780,3578.27
312,20110118,20110130,20110125,16495,2171.2942,SO43781,3578.27
312,20110118,20110130,20110125,16516,2171.2942,SO43782,3578.27
312,20110118,20110130,20110125,16620,2171.2942,SO43783,3578.27
310,20110119,20110131,20110126,27667,2171.2942,SO43784,3578.27
311,20110119,20110131,20110126,11601,2171.2942,SO43785,3578.27
311,20110119,20110131,20110126,11607,2171.2942,SO43786,3578.27
344,20110119,20110131,20110126,29385,1912.1544,SO43787,3399.99
351,20110119,20110131,20110126,11239,1898.0944,SO43788,3374.99
351,20110119,20110131,20110126,25865,1898.0944,SO43789,3374.99
344,20110119,20110131,20110126,25857,1912.1544,SO43790,3399.99
314,20110119,20110131,20110126,16484,2171.2942,SO43791,3578.27
